time,round,veh_id,rsu_id,veh_x,veh_y,dist
177.0,17,veh6,rsu_0,305.63,751.34,120.91
178.0,17,veh4,rsu_2,567.22,615.05,88.84
178.0,17,veh6,rsu_0,311.98,763.83,106.9
179.0,17,veh4,rsu_2,571.7,609.2,96.21
179.0,17,veh6,rsu_0,318.05,775.86,93.44
180.0,18,veh4,rsu_2,576.22,603.31,103.63
180.0,18,veh6,rsu_0,324.09,787.83,80.05
181.0,18,veh4,rsu_2,580.15,598.15,110.12
181.0,18,veh6,rsu_0,330.07,799.72,66.76
182.0,18,veh4,rsu_2,584.7,592.16,117.63
182.0,18,veh6,rsu_0,336.1,812.58,52.56
183.0,18,veh4,rsu_2,589.16,586.42,124.9
183.0,18,veh6,rsu_0,341.69,824.66,39.26
184.0,18,veh4,rsu_2,593.58,580.74,132.1
184.0,18,veh5,rsu_1,673.17,1132.82,139.95
184.0,18,veh6,rsu_0,347.42,837.31,25.38
185.0,18,veh4,rsu_2,597.77,575.35,138.93
185.0,18,veh5,rsu_1,665.0,1145.26,126.16
185.0,18,veh6,rsu_0,352.78,849.26,12.31
186.0,18,veh4,rsu_2,603.58,570.48,146.37
186.0,18,veh5,rsu_1,656.65,1157.62,112.53
186.0,18,veh6,rsu_0,357.06,858.8,2.18
187.0,18,veh5,rsu_1,647.51,1168.57,99.22
187.0,18,veh6,rsu_0,359.53,864.32,4.43
188.0,18,veh5,rsu_1,635.91,1177.03,85.04
188.0,18,veh6,rsu_0,360.23,865.88,6.09
189.0,18,veh5,rsu_1,624.53,1185.34,71.2
189.0,18,veh6,rsu_0,360.27,865.96,6.17
190.0,19,veh5,rsu_1,613.26,1193.57,57.61
190.0,19,veh6,rsu_0,360.29,866.01,6.23
191.0,19,veh5,rsu_1,602.27,1201.59,44.59
191.0,19,veh6,rsu_0,360.3,866.03,6.25
192.0,19,veh5,rsu_1,594.22,1207.27,35.36
192.0,19,veh6,rsu_0,360.3,866.03,6.25
193.0,19,veh5,rsu_1,589.18,1210.31,29.86
193.0,19,veh6,rsu_0,360.93,867.4,7.74
194.0,19,veh3,rsu_0,296.15,732.84,141.68
194.0,19,veh5,rsu_1,586.98,1211.64,27.5
194.0,19,veh6,rsu_0,362.36,870.42,11.05
195.0,19,veh3,rsu_0,301.51,743.23,130.0
195.0,19,veh5,rsu_1,586.76,1211.77,27.27
195.0,19,veh6,rsu_0,364.6,875.14,16.26
196.0,19,veh3,rsu_0,306.8,753.64,118.32
196.0,19,veh5,rsu_1,586.61,1211.86,27.12
196.0,19,veh6,rsu_0,367.49,881.23,22.99
197.0,19,veh3,rsu_0,311.8,763.48,107.29
197.0,19,veh5,rsu_1,586.61,1211.86,27.11
197.0,19,veh6,rsu_0,371.37,889.34,31.97
198.0,19,veh3,rsu_0,317.17,774.1,95.41
198.0,19,veh5,rsu_1,586.61,1211.86,27.11
198.0,19,veh6,rsu_0,376.33,899.16,42.98
199.0,19,veh3,rsu_0,322.28,784.24,84.06
199.0,19,veh5,rsu_1,586.61,1211.86,27.11
199.0,19,veh6,rsu_0,382.02,910.31,55.49
200.0,20,veh3,rsu_0,327.52,794.63,72.44
200.0,20,veh5,rsu_1,586.61,1211.86,27.11
200.0,20,veh6,rsu_0,388.41,922.85,69.57
201.0,20,veh3,rsu_0,332.65,805.21,60.69
201.0,20,veh5,rsu_1,586.61,1211.86,27.11
201.0,20,veh6,rsu_0,394.81,935.4,83.65
202.0,20,veh3,rsu_0,337.66,815.9,48.9
202.0,20,veh5,rsu_1,586.61,1211.86,27.11
202.0,20,veh6,rsu_0,401.2,947.86,97.66
203.0,20,veh3,rsu_0,342.31,826.0,37.78
203.0,20,veh5,rsu_1,586.61,1211.86,27.11
203.0,20,veh6,rsu_0,407.47,959.85,111.19
204.0,20,veh3,rsu_0,347.02,836.41,26.37
204.0,20,veh5,rsu_1,586.61,1211.86,27.11
204.0,20,veh6,rsu_0,413.66,971.54,124.42
205.0,20,veh3,rsu_0,351.8,847.07,14.7
205.0,20,veh5,rsu_1,586.61,1211.86,27.11
205.0,20,veh6,rsu_0,420.27,983.94,138.47
206.0,20,veh3,rsu_0,356.09,856.64,4.35
206.0,20,veh5,rsu_1,586.61,1211.86,27.11
207.0,20,veh3,rsu_0,358.69,862.44,2.52
207.0,20,veh5,rsu_1,586.61,1211.86,27.11
208.0,20,veh3,rsu_0,359.96,865.26,5.43
208.0,20,veh5,rsu_1,586.61,1211.86,27.11
209.0,20,veh3,rsu_0,360.28,865.99,6.21
209.0,20,veh5,rsu_1,584.49,1212.89,24.91
210.0,21,veh3,rsu_0,360.29,866.01,6.23
210.0,21,veh5,rsu_1,580.39,1213.46,20.78
211.0,21,veh3,rsu_0,360.3,866.02,6.24
211.0,21,veh5,rsu_1,575.7,1209.82,16.77
212.0,21,veh3,rsu_0,360.3,866.03,6.25
212.0,21,veh5,rsu_1,571.49,1203.73,16.11
213.0,21,veh3,rsu_0,360.3,866.03,6.25
213.0,21,veh5,rsu_1,566.42,1196.32,19.55
214.0,21,veh3,rsu_0,360.3,866.03,6.25
214.0,21,veh5,rsu_1,560.32,1187.39,27.27
215.0,21,veh3,rsu_0,360.3,866.03,6.25
215.0,21,veh5,rsu_1,553.45,1177.35,37.81
216.0,21,veh3,rsu_0,360.3,866.03,6.25
216.0,21,veh5,rsu_1,545.47,1165.77,50.89
217.0,21,veh3,rsu_0,361.12,868.21,8.52
217.0,21,veh5,rsu_1,534.41,1155.44,64.36
218.0,21,veh3,rsu_0,362.42,872.52,12.92
218.0,21,veh5,rsu_1,525.88,1143.45,78.79
219.0,21,veh3,rsu_0,364.09,878.93,19.46
219.0,21,veh5,rsu_1,517.42,1131.55,93.21
220.0,22,veh3,rsu_0,366.8,886.82,27.79
220.0,22,veh5,rsu_1,509.07,1119.81,107.48
221.0,22,veh3,rsu_0,371.42,896.57,38.56
221.0,22,veh5,rsu_1,500.94,1108.39,121.4
222.0,22,veh3,rsu_0,376.5,906.55,49.73
222.0,22,veh5,rsu_1,492.32,1096.26,136.19
223.0,22,veh3,rsu_0,381.61,916.56,60.95
224.0,22,veh3,rsu_0,387.03,927.18,72.86
225.0,22,veh3,rsu_0,392.14,937.21,84.11
230.0,23,veh6,rsu_1,547.84,1065.7,149.41
231.0,23,veh5,rsu_0,425.33,986.63,143.22
231.0,23,veh6,rsu_1,548.84,1067.23,147.82
232.0,23,veh5,rsu_0,418.7,974.18,129.11
232.0,23,veh6,rsu_1,550.13,1069.2,145.76
233.0,23,veh5,rsu_0,411.68,960.96,114.15
233.0,23,veh6,rsu_1,551.52,1071.32,143.56
234.0,23,veh5,rsu_0,405.03,948.3,99.85
234.0,23,veh6,rsu_1,552.47,1072.82,142.01
235.0,23,veh5,rsu_0,398.6,935.81,85.81
235.0,23,veh6,rsu_1,553.71,1074.88,139.9
236.0,23,veh5,rsu_0,391.87,922.59,70.99
236.0,23,veh6,rsu_1,554.84,1076.75,137.98
236.0,23,veh8,rsu_2,381.12,623.1,143.77
237.0,23,veh5,rsu_0,385.12,909.35,56.15
237.0,23,veh6,rsu_1,556.34,1079.13,135.56
237.0,23,veh8,rsu_2,386.34,626.91,137.43
238.0,23,veh5,rsu_0,379.46,898.25,43.71
238.0,23,veh6,rsu_1,558.01,1079.66,135.0
238.0,23,veh8,rsu_2,391.44,630.63,131.25
239.0,23,veh5,rsu_0,375.85,891.15,35.78
239.0,23,veh6,rsu_1,558.99,1077.55,137.11
239.0,23,veh8,rsu_2,396.64,634.42,124.97
240.0,24,veh5,rsu_0,374.31,888.05,32.34
240.0,24,veh6,rsu_1,557.67,1075.26,139.41
240.0,24,veh8,rsu_2,402.46,638.66,117.95
241.0,24,veh5,rsu_0,371.75,882.72,26.49
241.0,24,veh6,rsu_1,556.29,1072.96,141.73
241.0,24,veh8,rsu_2,407.44,642.29,111.96
242.0,24,veh5,rsu_0,368.27,875.39,18.52
242.0,24,veh6,rsu_1,555.21,1071.18,143.54
242.0,24,veh8,rsu_2,412.9,646.27,105.42
243.0,24,veh5,rsu_0,364.22,866.87,9.6
